,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
143,zqe8r6xz,140,https://www.speedrun.com/sm64/run/zqe8r6xz,2023-02-27T01:03:10Z,480.0,480.0,qj2z19nj,TheCrit,United States,EMU,Yes
144,z1l8lxjm,140,https://www.speedrun.com/sm64/run/z1l8lxjm,2023-06-05T07:02:53Z,480.0,480.0,j96ww5vj,asandal,United States,N64,Yes
145,zpwpj7gy,140,https://www.speedrun.com/sm64/run/zpwpj7gy,2023-07-19T13:36:01Z,480.0,480.0,zxz1vorj,Karyno,France,N64,Yes
146,yj2ekonm,140,https://www.speedrun.com/sm64/run/yj2ekonm,2023-07-29T17:53:48Z,480.0,480.0,8r7412qj,Rynnoo,United States,N64,Yes
147,yjwppk7m,140,https://www.speedrun.com/sm64/run/yjwppk7m,2023-11-17T14:30:21Z,480.0,480.0,jn227vqj,MW_65536,Japan,N64,Yes
148,y4qj64qm,149,https://www.speedrun.com/sm64/run/y4qj64qm,2022-07-03T17:59:05Z,481.0,481.0,zx76v0j7,Taggo,Sweden,N64,Yes
149,zx36e0gz,149,https://www.speedrun.com/sm64/run/zx36e0gz,2023-06-08T00:10:27Z,481.0,481.0,jo35yn7j,Luisito,Mexico,VC,Yes
150,7z09k5jz,151,https://www.speedrun.com/sm64/run/7z09k5jz,2015-07-30T06:19:17Z,482.0,482.0,qj26pqnx,NyZ,Japan,N64,Yes
151,yjkevpdm,151,https://www.speedrun.com/sm64/run/yjkevpdm,2018-02-17T11:38:49Z,482.0,482.0,,,,N64,Yes
152,y4ro5lnz,151,https://www.speedrun.com/sm64/run/y4ro5lnz,2021-06-08T01:11:30Z,482.0,482.0,1xy1oozx,ringo792,United States,N64,Yes
153,mrlegk2m,151,https://www.speedrun.com/sm64/run/mrlegk2m,2023-05-19T10:54:04Z,482.0,482.0,pj0rd9mj,Gemini_,Australia,EMU,Yes
154,z0e85k9m,155,https://www.speedrun.com/sm64/run/z0e85k9m,2018-02-09T18:40:33Z,483.0,483.0,zx766dyj,Tencho,Japan,N64,Yes
155,y8971oxm,155,https://www.speedrun.com/sm64/run/y8971oxm,2019-04-18T13:33:15Z,483.0,483.0,kjpqy9yx,Gainai,Germany,N64,Yes
156,7z0r2jez,157,https://www.speedrun.com/sm64/run/7z0r2jez,2015-11-06T00:15:20Z,484.0,484.0,,,,N64,Yes
157,0y6r85qy,157,https://www.speedrun.com/sm64/run/0y6r85qy,2015-07-30T06:20:48Z,484.0,484.0,,,,N64,Yes
158,y6od691y,157,https://www.speedrun.com/sm64/run/y6od691y,2023-01-13T11:16:43Z,484.0,484.0,x35wo52j,2porridge,United States,N64,Yes
159,mel4vr8z,157,https://www.speedrun.com/sm64/run/mel4vr8z,2023-06-14T02:57:05Z,484.0,484.0,1xyw6wn8,markinator99,United States,N64,No
160,y236o05m,161,https://www.speedrun.com/sm64/run/y236o05m,2018-04-02T00:51:50Z,485.0,485.0,1xyo4enj,chlidlunk,France,VC,Yes
161,y4qpw12m,161,https://www.speedrun.com/sm64/run/y4qpw12m,2022-07-26T14:22:23Z,485.0,485.0,68wp5qvx,geek,Germany,N64,Yes
162,zx38868z,161,https://www.speedrun.com/sm64/run/zx38868z,2023-07-02T13:32:48Z,485.0,485.0,8g5772rj,Semaa,Bosnia and Herzegovina,EMU,Yes
163,me0q043z,161,https://www.speedrun.com/sm64/run/me0q043z,2024-02-04T00:55:12Z,485.0,485.0,8lpgwllj,Vadien,United States,N64,Yes
164,wzpkjxyq,165,https://www.speedrun.com/sm64/run/wzpkjxyq,,486.0,486.0,zx7qg687,ParadoxKarl,Esperanto,VC,Yes
165,y670njjm,165,https://www.speedrun.com/sm64/run/y670njjm,2017-10-22T03:19:21Z,486.0,486.0,48gmn28p,Dungeonfire,Germany,EMU,Yes
166,mee7540m,165,https://www.speedrun.com/sm64/run/mee7540m,2023-01-17T00:17:58Z,486.0,486.0,j9pze07x,PrinterWontWork,United States,N64,Yes
167,me0g57qz,165,https://www.speedrun.com/sm64/run/me0g57qz,2024-01-01T22:39:51Z,486.0,486.0,8qrrp27j,TedFeds,United States,EMU,Yes
168,m372dn6z,169,https://www.speedrun.com/sm64/run/m372dn6z,2021-11-01T05:45:09Z,487.0,487.0,86vm37pj,sevenyoshi,United States,N64,Yes
169,ydd4g6wy,169,https://www.speedrun.com/sm64/run/ydd4g6wy,2022-07-07T07:20:02Z,487.0,487.0,8lpl934j,PegiTheLoca,Germany,EMU,Yes
170,yjpnqpdy,169,https://www.speedrun.com/sm64/run/yjpnqpdy,2022-07-28T09:16:54Z,487.0,487.0,5j5gwr68,Speedrun,United States,EMU,Yes
171,zgedwvvy,169,https://www.speedrun.com/sm64/run/zgedwvvy,2023-06-20T14:22:58Z,487.0,487.0,j40y2pv8,Tansan,Japan,N64,Yes
172,z0nwv58m,173,https://www.speedrun.com/sm64/run/z0nwv58m,2022-12-01T23:59:54Z,488.0,488.0,qxkvqp2j,PKT_Distinct,France,N64,Yes
173,yo4qgp0m,174,https://www.speedrun.com/sm64/run/yo4qgp0m,2018-02-17T11:42:19Z,489.0,489.0,,,,N64,No
174,y9v809em,174,https://www.speedrun.com/sm64/run/y9v809em,2022-06-13T00:36:39Z,489.0,489.0,8qrldp7j,Amahumahaba,United States,N64,Yes
175,yjlp0ndz,176,https://www.speedrun.com/sm64/run/yjlp0ndz,2020-06-11T15:52:45Z,490.0,490.0,qjo5lrl8,SaltAndGinger,Jersey,N64,Yes
176,zp9o09nm,176,https://www.speedrun.com/sm64/run/zp9o09nm,2022-07-05T16:05:45Z,490.0,490.0,7j4epgvx,Mcnessyj,New Zealand,N64,Yes
177,mk07gg5z,176,https://www.speedrun.com/sm64/run/mk07gg5z,2023-06-03T20:10:20Z,490.0,490.0,j0n10kw8,jaquarium,United States,N64,Yes
178,m3qe9n6y,176,https://www.speedrun.com/sm64/run/m3qe9n6y,2023-08-31T03:19:15Z,490.0,490.0,8rlr3pg8,siggyscorp,United States,N64,Yes
179,pzgjlvz2,180,https://www.speedrun.com/sm64/run/pzgjlvz2,,491.0,491.0,e8e6edj0,GothicLogic,United Kingdom,N64,Yes
180,ylknr1xz,180,https://www.speedrun.com/sm64/run/ylknr1xz,2020-06-21T09:33:00Z,491.0,491.0,v81eydrj,Minelover,United States,EMU,Yes
181,m7glww5m,180,https://www.speedrun.com/sm64/run/m7glww5m,2020-07-30T20:54:26Z,491.0,491.0,5j52wm6j,Kanwa,Chile,EMU,Yes
182,z52244nz,180,https://www.speedrun.com/sm64/run/z52244nz,2022-06-01T16:15:41Z,491.0,491.0,e8ewrz78,ariapath,Australia,EMU,Yes
183,yjpd1ggy,180,https://www.speedrun.com/sm64/run/yjpd1ggy,2022-06-03T08:06:00Z,491.0,491.0,86vvqv0j,Dillarune,Indonesia,EMU,Yes
184,mkdkxrvy,180,https://www.speedrun.com/sm64/run/mkdkxrvy,2022-09-08T06:52:42Z,491.0,491.0,xyrwkqwj,Yudalol,Canada,EMU,Yes
185,zpgwqrxz,180,https://www.speedrun.com/sm64/run/zpgwqrxz,2023-02-15T20:38:36Z,491.0,491.0,qjo0ge7j,millacks,Ireland,VC,Yes
186,2ywwgpy4,187,https://www.speedrun.com/sm64/run/2ywwgpy4,,492.0,492.0,,,,N64,Yes
187,zgdn5qez,187,https://www.speedrun.com/sm64/run/zgdn5qez,2021-12-11T05:50:15Z,492.0,492.0,x3m75r68,BenYork36,United States,N64,Yes
188,zq7ed69m,187,https://www.speedrun.com/sm64/run/zq7ed69m,2022-06-10T00:01:13Z,492.0,492.0,x359w0kj,mickyyyr,Australia,N64,Yes
189,y8688rnm,187,https://www.speedrun.com/sm64/run/y8688rnm,2023-06-27T06:11:17Z,492.0,492.0,zxz67wn8,AJLane,United States,N64,Yes
190,ydj1nd0y,187,https://www.speedrun.com/sm64/run/ydj1nd0y,2023-07-03T11:48:40Z,492.0,492.0,1xyqkgz8,Sanklo,Argentina,EMU,Yes
191,ydwp010m,192,https://www.speedrun.com/sm64/run/ydwp010m,2022-03-11T19:55:37Z,493.0,493.0,68w672qj,drimys,United States,N64,Yes
192,znpev5vm,192,https://www.speedrun.com/sm64/run/znpev5vm,2022-06-20T05:32:17Z,493.0,493.0,zx7gkrx7,alaris,United States,N64,Yes
193,oy2g679z,194,https://www.speedrun.com/sm64/run/oy2g679z,2016-06-29T15:13:03Z,494.0,494.0,,,,N64,No
194,8y8rn2wm,195,https://www.speedrun.com/sm64/run/8y8rn2wm,2015-07-30T06:22:40Z,495.0,495.0,,,,N64,Yes
195,y8eg621y,195,https://www.speedrun.com/sm64/run/y8eg621y,2021-10-29T12:01:18Z,495.0,495.0,qjn6yzwx,BennyMKW,United States,VC,Yes
196,zp9dxd8m,195,https://www.speedrun.com/sm64/run/zp9dxd8m,2022-06-05T07:19:56Z,495.0,495.0,8rprrndj,N8rBeans,United States,N64,Yes
197,y9j78xrm,195,https://www.speedrun.com/sm64/run/y9j78xrm,2024-02-21T04:22:01Z,495.0,495.0,8q3npw0j,Slowmobile,United States,N64,Yes
198,z1p5xdwz,199,https://www.speedrun.com/sm64/run/z1p5xdwz,2022-04-28T02:16:52Z,496.0,496.0,8l0q0k78,GeoGringo,United States,N64,Yes
199,6yjeo3md,200,https://www.speedrun.com/sm64/run/6yjeo3md,,497.0,497.0,,,,N64,Yes
200,m7q6pw5z,200,https://www.speedrun.com/sm64/run/m7q6pw5z,2019-09-28T08:45:40Z,497.0,497.0,v8l4r04j,JeremyMKW,United States,N64,Yes
201,yor5jx7y,200,https://www.speedrun.com/sm64/run/yor5jx7y,2022-03-05T18:24:13Z,497.0,497.0,xz916448,rosheeki,United States,N64,Yes
202,znp50pvm,200,https://www.speedrun.com/sm64/run/znp50pvm,2022-07-10T21:02:50Z,497.0,497.0,kjpqrr4x,Goldrush,Japan,N64,Yes
203,m76kr0ey,200,https://www.speedrun.com/sm64/run/m76kr0ey,2022-07-25T20:07:39Z,497.0,497.0,qxk45r6j,hokorobi,Japan,N64,Yes
204,yj2gve7m,200,https://www.speedrun.com/sm64/run/yj2gve7m,2023-06-13T06:09:33Z,497.0,497.0,5j5097nx,SolErikaB,Sweden,EMU,Yes
205,m79j2d5y,206,https://www.speedrun.com/sm64/run/m79j2d5y,2018-03-27T00:54:48Z,498.0,498.0,68wegq8g,Custom,Canada,N64,Yes
206,znpv3vvm,206,https://www.speedrun.com/sm64/run/znpv3vvm,2022-06-13T06:42:16Z,498.0,498.0,8end5g78,SonicGordon6,United States,EMU,Yes
207,zp9749rm,206,https://www.speedrun.com/sm64/run/zp9749rm,2022-07-26T11:48:13Z,498.0,498.0,863w7qw8,sakoi,Japan,N64,Yes
208,z0xpo89z,206,https://www.speedrun.com/sm64/run/z0xpo89z,2023-11-17T10:26:09Z,498.0,498.0,8v57kgvj,GrievousD2,Canada,N64,Yes
209,zgp2r10z,210,https://www.speedrun.com/sm64/run/zgp2r10z,2022-06-08T19:00:34Z,499.0,499.0,8l02n628,mojopug,Spain,EMU,Yes
210,zqj1ko9m,210,https://www.speedrun.com/sm64/run/zqj1ko9m,2023-06-08T09:14:55Z,499.0,499.0,8d4ywn58,vitroncio,Brazil,N64,Yes
211,y86e4rdm,210,https://www.speedrun.com/sm64/run/y86e4rdm,2023-06-18T21:45:13Z,499.0,499.0,863k2ww8,MeepJeep,Germany,N64,Yes
212,zqjvovrm,210,https://www.speedrun.com/sm64/run/zqjvovrm,2023-06-18T22:23:43Z,499.0,499.0,8e6qyddj,Salemba,Austria,EMU,Yes
213,8yv956xz,210,https://www.speedrun.com/sm64/run/8yv956xz,2015-07-30T06:28:02Z,499.0,499.0,5j52e9qj,GUTOA,Japan,N64,No
214,7ylpdkmp,215,https://www.speedrun.com/sm64/run/7ylpdkmp,,500.0,500.0,18ql07jn,luke994,England,N64,Yes
215,0zn35k9y,215,https://www.speedrun.com/sm64/run/0zn35k9y,2015-07-30T06:30:50Z,500.0,500.0,e8e6k12j,kumasyatyou,Japan,N64,No
216,y92xxe2z,215,https://www.speedrun.com/sm64/run/y92xxe2z,2018-11-11T07:52:52Z,500.0,500.0,qxkg359j,AdamFerrari,United States,VC,Yes
217,y669x3jy,215,https://www.speedrun.com/sm64/run/y669x3jy,2021-02-10T17:07:29Z,500.0,500.0,7j4q7emx,eleesuh,Germany,N64,Yes
218,z0okp99z,215,https://www.speedrun.com/sm64/run/z0okp99z,2022-03-07T00:16:36Z,500.0,500.0,pj02dl98,Hide,United States,N64,Yes
219,y60v48py,215,https://www.speedrun.com/sm64/run/y60v48py,2022-06-25T15:37:17Z,500.0,500.0,v814mkp8,cheese,Spain,N64,Yes
220,yj2pqgom,215,https://www.speedrun.com/sm64/run/yj2pqgom,2023-06-28T21:53:50Z,500.0,500.0,8gezkw7j,Limosick,Mexico,N64,Yes
221,zpqke9xy,222,https://www.speedrun.com/sm64/run/zpqke9xy,2018-02-17T11:43:55Z,501.0,501.0,,,,N64,Yes
222,y423263m,222,https://www.speedrun.com/sm64/run/y423263m,2021-01-20T16:00:51Z,501.0,501.0,y0jmnzx1,thehunterhack,Aruba,N64,Yes
223,zgdjwwjz,222,https://www.speedrun.com/sm64/run/zgdjwwjz,2022-02-22T20:12:55Z,501.0,501.0,8g5egl1j,Rayydex,Germany,EMU,Yes
224,zq77pd5m,222,https://www.speedrun.com/sm64/run/zq77pd5m,2022-05-31T21:35:42Z,501.0,501.0,kj90nrj4,Kyrette,United States,VC,No
225,yv8l15xm,222,https://www.speedrun.com/sm64/run/yv8l15xm,2023-02-28T07:49:11Z,501.0,501.0,xyrv6onj,jakegaw6,United States,N64,Yes
226,zpwkrdvy,222,https://www.speedrun.com/sm64/run/zpwkrdvy,2023-07-30T06:10:52Z,501.0,501.0,8v5nwrnj,Michaelguy,United States,EMU,Yes
227,zp96povm,228,https://www.speedrun.com/sm64/run/zp96povm,2022-06-24T09:28:15Z,502.0,502.0,y8dw9zgj,Alkobakknarko,Norway,N64,Yes
228,meeqk18m,228,https://www.speedrun.com/sm64/run/meeqk18m,2023-04-10T06:59:34Z,502.0,502.0,xylw0wmj,Linkarf,Québec,N64,Yes
229,m708895y,228,https://www.speedrun.com/sm64/run/m708895y,2023-06-03T13:42:55Z,502.0,502.0,zx71oy0x,FGSM,Scotland,EMU,Yes
230,yj2gx7dm,228,https://www.speedrun.com/sm64/run/yj2gx7dm,2023-06-10T14:47:43Z,502.0,502.0,x3w377ej,AbUnderscored,Jordan,EMU,Yes
231,y4onxdqz,228,https://www.speedrun.com/sm64/run/y4onxdqz,2023-08-05T22:35:09Z,502.0,502.0,j4q1vpwx,shadowbear,Canada,N64,Yes
232,yd2j4j0m,228,https://www.speedrun.com/sm64/run/yd2j4j0m,2023-12-12T12:23:11Z,502.0,502.0,8l35dzl8,KalasLawliet,France,N64,Yes
233,2ywd582z,234,https://www.speedrun.com/sm64/run/2ywd582z,2015-07-30T06:31:33Z,503.0,503.0,,,,N64,No
234,8m7oo1ey,234,https://www.speedrun.com/sm64/run/8m7oo1ey,2016-09-28T21:46:00Z,503.0,503.0,qj21mo8k,CartoonBuffoon,,EMU,Yes
