,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,yol5kxjy,1,https://www.speedrun.com/sm64/run/yol5kxjy,2023-03-23T06:20:48Z,875.5,875.5,jn32931x,Suigi,Canada,N64,Yes
1,zppddvxz,2,https://www.speedrun.com/sm64/run/zppddvxz,2023-11-25T16:02:09Z,881.21,881.21,1xypyovx,Slipperynip,United States,N64,Yes
2,me0pw13z,3,https://www.speedrun.com/sm64/run/me0pw13z,2024-01-18T12:05:31Z,885.21,885.21,kjprmwk8,Weegee,United States,N64,Yes
3,y60jnn0y,4,https://www.speedrun.com/sm64/run/y60jnn0y,2022-07-06T19:10:40Z,892.0,892.0,x353dr7j,Finnii602,Germany,VC,Yes
4,ywj1gg9z,5,https://www.speedrun.com/sm64/run/ywj1gg9z,2021-12-09T16:44:16Z,895.81,895.81,kj92gmv8,Dowsky,United States,N64,Yes
5,z1qollry,6,https://www.speedrun.com/sm64/run/z1qollry,2023-01-03T04:27:48Z,895.9,895.9,48g979rx,GTM,Antarctica,N64,Yes
6,m7w9p0ez,7,https://www.speedrun.com/sm64/run/m7w9p0ez,2021-12-06T01:20:55Z,896.22,896.22,7j40gpw8,KANNO,,N64,Yes
7,mkv9n63y,8,https://www.speedrun.com/sm64/run/mkv9n63y,2022-12-16T23:55:34Z,896.33,896.33,8vkrw22j,Tag609,United States,N64,Yes
8,y86rxp5m,9,https://www.speedrun.com/sm64/run/y86rxp5m,2023-05-29T17:17:59Z,897.46,897.46,e8evzg7x,gamiru,Japan,N64,Yes
9,yv8qgoom,10,https://www.speedrun.com/sm64/run/yv8qgoom,2023-01-23T23:25:36Z,898.0,898.0,jmolpwo8,Raisn,Germany,EMU,Yes
10,znv35k3m,11,https://www.speedrun.com/sm64/run/znv35k3m,2023-05-31T13:30:57Z,898.1,898.1,jpmk03yj,Zapy,Japan,N64,Yes
11,znko377z,12,https://www.speedrun.com/sm64/run/znko377z,2020-05-10T08:36:48Z,899.33,899.33,0jml0zy8,akki,Japan,N64,Yes
12,y6qvj46z,13,https://www.speedrun.com/sm64/run/y6qvj46z,2023-12-26T09:07:07Z,900.24,900.24,j2www16j,treybordo,United States,N64,Yes
13,mr20o6dy,14,https://www.speedrun.com/sm64/run/mr20o6dy,2024-01-05T22:10:02Z,904.73,904.73,7j4mzd5j,Thomkar,Norway,N64,Yes
14,y8kojlwy,15,https://www.speedrun.com/sm64/run/y8kojlwy,2024-01-05T05:58:14Z,906.73,906.73,qj2rklpx,cjrokokomero,Italy,N64,Yes
15,zpw506ry,16,https://www.speedrun.com/sm64/run/zpw506ry,2023-08-08T21:52:14Z,908.63,908.63,j4rpn7d8,Nils,Sweden,N64,Yes
16,m36394wm,17,https://www.speedrun.com/sm64/run/m36394wm,2022-01-18T20:20:29Z,909.0,909.0,8wlk4n4j,Kaimatix,England,EMU,Yes
17,y98l6wkz,17,https://www.speedrun.com/sm64/run/y98l6wkz,2023-06-22T16:13:52Z,909.0,909.0,o86vrqpj,Joshua_iz_drunk,Ireland,EMU,Yes
18,zgqk9l0y,19,https://www.speedrun.com/sm64/run/zgqk9l0y,2022-08-11T13:53:17Z,910.0,910.0,xyrqdwmj,Zhilkan,Spain,EMU,Yes
19,z5e31vnz,20,https://www.speedrun.com/sm64/run/z5e31vnz,2022-12-31T14:24:09Z,910.04,910.04,8wkzer38,Parsee02,Japan,N64,Yes
20,y8kw311y,21,https://www.speedrun.com/sm64/run/y8kw311y,2023-12-21T05:41:06Z,911.31,911.31,18q652oj,Poke,United States,N64,Yes
21,y8kgv4ny,22,https://www.speedrun.com/sm64/run/y8kgv4ny,2024-01-10T06:48:04Z,911.87,911.87,qxkqkmmx,xandrey64,Costa Rica,N64,No
22,y4kk6knm,23,https://www.speedrun.com/sm64/run/y4kk6knm,2023-12-18T22:22:19Z,912.0,912.0,kj9z6pn8,Sunnard,France,EMU,Yes
23,yojl4j5m,24,https://www.speedrun.com/sm64/run/yojl4j5m,2019-10-28T08:42:20Z,912.67,912.67,5j52dgqj,lunarjump,United States,N64,Yes
24,z1p04l9z,25,https://www.speedrun.com/sm64/run/z1p04l9z,2022-07-17T17:59:23Z,913.66,913.66,v814mkp8,cheese,Spain,N64,Yes
25,m7x80r4y,26,https://www.speedrun.com/sm64/run/m7x80r4y,2022-08-21T17:24:28Z,913.83,913.83,18v62qyx,Benji64,Austria,N64,Yes
26,yvp9176y,27,https://www.speedrun.com/sm64/run/yvp9176y,2023-05-28T18:09:06Z,914.03,914.03,zxzn3w9x,spener1122,Canada,N64,Yes
27,zx6jr85z,28,https://www.speedrun.com/sm64/run/zx6jr85z,2021-03-17T16:49:20Z,916.0,916.0,1xy9p1vj,taihou,Japan,EMU,Yes
28,y9kklkez,29,https://www.speedrun.com/sm64/run/y9kklkez,2023-12-17T08:07:38Z,916.3,916.3,86nnlvqx,Banova8,France,N64,Yes
29,me10ww3y,30,https://www.speedrun.com/sm64/run/me10ww3y,2022-09-28T06:07:24Z,916.78,916.78,8qzmp678,Jaybomb,United States,N64,Yes
30,znj8v1vm,31,https://www.speedrun.com/sm64/run/znj8v1vm,2022-12-06T07:15:01Z,917.88,917.88,81611olx,phyxius6,United States,N64,Yes
31,y81vwdnz,32,https://www.speedrun.com/sm64/run/y81vwdnz,2019-08-09T04:56:58Z,918.0,918.0,48gqo07j,darkdog47,United States,VC,Yes
32,mkkp5lvm,32,https://www.speedrun.com/sm64/run/mkkp5lvm,2022-06-23T06:04:14Z,918.0,918.0,jo2mr9n8,marlene,,N64,Yes
33,mk90d41z,34,https://www.speedrun.com/sm64/run/mk90d41z,2018-12-14T09:48:21Z,918.05,918.05,zxzk1q9x,ikori_o,Japan,N64,Yes
34,y23o4v5m,35,https://www.speedrun.com/sm64/run/y23o4v5m,2018-05-03T11:10:23Z,919.55,919.55,98r61l38,YuraMofu,Japan,N64,Yes
35,yj8jnodm,36,https://www.speedrun.com/sm64/run/yj8jnodm,2022-12-02T03:46:32Z,919.86,919.86,dx35192j,Dezanig,Brazil,N64,Yes
36,zpd7w2vz,37,https://www.speedrun.com/sm64/run/zpd7w2vz,2022-11-23T17:48:23Z,920.31,920.31,j0nmelr8,carrickdan,Ireland,N64,Yes
37,yj508ldm,38,https://www.speedrun.com/sm64/run/yj508ldm,2021-11-21T04:47:26Z,921.33,921.33,zxze2zex,Flixer,United States,N64,Yes
38,zqdvn1rm,39,https://www.speedrun.com/sm64/run/zqdvn1rm,2023-11-05T01:48:59Z,922.0,922.0,j0324nmj,MrDasho,Ecuador,EMU,Yes
39,z52pd7gz,40,https://www.speedrun.com/sm64/run/z52pd7gz,2022-06-13T22:35:39Z,922.81,922.81,dx3wpl2j,MrJimmysteel25,United States,N64,Yes
40,8m72x69z,41,https://www.speedrun.com/sm64/run/8m72x69z,2016-05-07T15:56:01Z,924.33,924.33,o866w58z,Xiah,Japan,N64,Yes
41,m33e8dqm,42,https://www.speedrun.com/sm64/run/m33e8dqm,2022-07-28T15:21:05Z,925.52,925.52,j2ylqn68,Karin,Japan,N64,Yes
42,yjx2rrdz,43,https://www.speedrun.com/sm64/run/yjx2rrdz,2022-02-05T16:33:22Z,926.4,926.4,qj2y1r68,JJsrl,United States,N64,Yes
43,zg21rxey,44,https://www.speedrun.com/sm64/run/zg21rxey,2023-03-30T17:12:16Z,927.0,927.0,jnz2ykqj,ShaDowSPoweR,France,EMU,Yes
44,m733v75y,45,https://www.speedrun.com/sm64/run/m733v75y,2023-12-19T23:30:16Z,927.28,927.28,x35d1dqj,mystic400,Norway,N64,Yes
45,zg887xey,46,https://www.speedrun.com/sm64/run/zg887xey,2023-12-15T04:01:38Z,927.38,927.38,pj0l653j,FailmanFlo,Germany,N64,Yes
46,mex90e3z,47,https://www.speedrun.com/sm64/run/mex90e3z,2019-08-08T20:38:47Z,927.92,927.92,1xyldrvj,anti,,N64,Yes
47,zpd66wgz,48,https://www.speedrun.com/sm64/run/zpd66wgz,2022-10-03T12:00:54Z,928.0,928.0,xkmnnmmj,ZUMMI,Italy,EMU,Yes
48,ywn3o83y,49,https://www.speedrun.com/sm64/run/ywn3o83y,2023-11-20T08:08:49Z,928.25,928.25,8vkqwknj,GroundPoundGary,United States,N64,Yes
49,mexek9qz,50,https://www.speedrun.com/sm64/run/mexek9qz,2019-10-28T12:26:41Z,928.83,928.83,o862d3xz,Biinny,England,N64,Yes
50,mk2jrdlm,51,https://www.speedrun.com/sm64/run/mk2jrdlm,2020-03-21T06:51:31Z,929.0,929.0,dx35yzej,TriforceTK,United States,EMU,Yes
51,pm3g2g6z,52,https://www.speedrun.com/sm64/run/pm3g2g6z,2015-07-30T06:58:05Z,929.36,929.36,,,,N64,Yes
52,zp90dprm,53,https://www.speedrun.com/sm64/run/zp90dprm,2022-04-17T05:42:09Z,929.83,929.83,v8lgdovj,Drac,Brazil,N64,Yes
53,mr4p3e7z,54,https://www.speedrun.com/sm64/run/mr4p3e7z,2021-04-01T22:49:08Z,930.0,930.0,98r294wx,CapnSR,Canada,VC,Yes
54,z1rkonrm,55,https://www.speedrun.com/sm64/run/z1rkonrm,2021-06-13T19:38:18Z,930.16,930.16,zx76v0j7,Taggo,Sweden,N64,Yes
55,zx6x8eqz,56,https://www.speedrun.com/sm64/run/zx6x8eqz,2021-03-12T03:26:22Z,930.33,930.33,x354692j,manxmud,United States,N64,Yes
56,ywnk7lpy,57,https://www.speedrun.com/sm64/run/ywnk7lpy,2023-11-05T15:46:00Z,930.4,930.4,0jmo9zn8,Redmoss,United States,N64,Yes
57,z0jo824y,58,https://www.speedrun.com/sm64/run/z0jo824y,2023-06-23T15:59:33Z,931.36,931.36,8vo90m5x,Nicolascs83,Spain,N64,Yes
58,zxo5j98z,59,https://www.speedrun.com/sm64/run/zxo5j98z,2021-11-05T02:38:48Z,931.56,931.56,qxk4wo6j,saksdal,United States,N64,Yes
59,yvvddv6y,60,https://www.speedrun.com/sm64/run/yvvddv6y,2024-02-06T00:04:35Z,932.0,932.0,v816eo5x,Soda,,VC,Yes
60,m7d3r6wm,61,https://www.speedrun.com/sm64/run/m7d3r6wm,2021-06-16T14:55:34Z,932.06,932.06,kjpqy9yx,Gainai,Germany,N64,Yes
61,m3l40vgm,61,https://www.speedrun.com/sm64/run/m3l40vgm,2023-04-08T02:03:32Z,932.06,932.06,x35rvpkj,Scythamer,United States,N64,Yes
62,yvqnk1em,63,https://www.speedrun.com/sm64/run/yvqnk1em,2022-02-26T17:59:24Z,932.63,932.63,0jm36qe8,Xein64,Germany,N64,Yes
63,y25dx8jy,64,https://www.speedrun.com/sm64/run/y25dx8jy,2020-05-03T13:46:58Z,933.13,933.13,zxzpz50j,Fafel,Japan,N64,Yes
64,y6vl5p0m,65,https://www.speedrun.com/sm64/run/y6vl5p0m,2024-03-02T01:09:02Z,933.35,933.35,18q6977j,Burnito,France,N64,Yes
65,zgqq7o0y,66,https://www.speedrun.com/sm64/run/zgqq7o0y,2022-09-09T17:14:00Z,933.43,933.43,kjpqrr4x,Goldrush,Japan,N64,Yes
66,z07xvv9y,67,https://www.speedrun.com/sm64/run/z07xvv9y,2021-10-07T23:17:32Z,933.99,933.99,o86nzl0x,Xoofey,United States,N64,Yes
67,z0xlo2oz,68,https://www.speedrun.com/sm64/run/z0xlo2oz,2023-11-25T00:00:29Z,934.0,934.0,8e6k1loj,PhoenixAUS,,VC,Yes
68,y2go7kjz,69,https://www.speedrun.com/sm64/run/y2go7kjz,2023-08-27T13:57:24Z,934.76,934.76,68wwn48g,Mitagi,Japan,N64,Yes
69,yl4p552m,70,https://www.speedrun.com/sm64/run/yl4p552m,2019-02-14T09:58:12Z,935.0,935.0,5j5v2nz8,Shans,Australia,EMU,Yes
70,y807wv1m,70,https://www.speedrun.com/sm64/run/y807wv1m,2023-04-14T03:58:18Z,935.0,935.0,98rky4qx,BigCheese,United States,VC,Yes
71,mk0qed1z,72,https://www.speedrun.com/sm64/run/mk0qed1z,2023-07-16T23:57:21Z,935.98,935.98,8w139m3x,oatslice,Australia,N64,Yes
72,z5xn4n5y,73,https://www.speedrun.com/sm64/run/z5xn4n5y,2022-11-06T17:49:38Z,936.0,936.0,zx7dz1vx,AlejoWasHere,Spain,EMU,Yes
73,y9v57xkm,74,https://www.speedrun.com/sm64/run/y9v57xkm,2022-04-20T19:47:59Z,937.0,937.0,48g7gd18,jepega,Netherlands,VC,Yes
74,dy4e0eqm,75,https://www.speedrun.com/sm64/run/dy4e0eqm,2015-07-30T06:59:18Z,937.56,937.56,kj9lkowj,batora,Japan,N64,Yes
75,zq0wn01y,76,https://www.speedrun.com/sm64/run/zq0wn01y,2021-12-26T09:10:08Z,937.67,937.67,1xyd46wx,Kally,,N64,Yes
76,y8jljkwz,77,https://www.speedrun.com/sm64/run/y8jljkwz,2022-03-12T19:45:18Z,937.98,937.98,x35wo52j,2porridge,United States,N64,No
77,y8e1kdwy,78,https://www.speedrun.com/sm64/run/y8e1kdwy,2021-08-10T15:34:12Z,938.0,938.0,xz9z40r8,zMatt_,Italy,EMU,Yes
78,yo0je3dy,78,https://www.speedrun.com/sm64/run/yo0je3dy,2024-03-05T17:40:08Z,938.0,938.0,81q1oq5j,Ian_1243,Peru,EMU,Yes
79,me3kx98z,80,https://www.speedrun.com/sm64/run/me3kx98z,2022-04-09T17:10:45Z,938.28,938.28,x359w0kj,mickyyyr,Australia,N64,Yes
80,yl72o8rm,81,https://www.speedrun.com/sm64/run/yl72o8rm,2022-07-15T00:44:25Z,939.0,939.0,8rpv21dj,ZeusSM64,New Zealand,EMU,No
81,z1lp2jjm,82,https://www.speedrun.com/sm64/run/z1lp2jjm,2023-06-26T23:58:20Z,939.06,939.06,18vk21yj,Tabascoth,Austria,N64,Yes
82,y8jknj5z,83,https://www.speedrun.com/sm64/run/y8jknj5z,2022-02-10T18:42:38Z,939.2,939.2,8gee7n7j,LxqZach,Germany,N64,Yes
